"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/08/2019","11.710,94","11.616,49","11.796,26","11.526,31","","0,81%"
"01/07/2019","11.616,49","11.286,18","11.616,49","11.100,48","","2,92%"
"01/06/2019","11.287,04","10.999,88","11.552,13","10.926,80","","2,61%"
"01/05/2019","10.999,88","11.192,06","11.430,08","10.999,88","","-1,72%"
"01/04/2019","11.192,06","10.912,23","11.201,92","10.882,38","","2,56%"
"01/03/2019","10.912,23","11.136,57","11.206,61","10.910,98","","-2,01%"
"01/02/2019","11.136,57","11.350,73","11.509,40","11.124,34","","-1,89%"
"01/01/2019","11.350,73","11.364,31","11.452,61","11.036,36","","-0,12%"
"01/12/2018","11.364,31","11.229,28","11.368,06","11.120,13","","1,20%"
"01/11/2018","11.229,28","10.919,67","11.316,03","10.874,77","","2,84%"
"01/10/2018","10.919,67","11.335,55","11.344,71","10.905,91","","-3,67%"
"01/09/2018","11.335,55","11.546,49","11.546,49","11.098,13","","-1,83%"
"01/08/2018","11.546,49","11.746,14","11.820,72","11.523,51","","-1,70%"
"01/07/2018","11.746,14","11.878,65","12.043,07","11.307,64","","-1,12%"
"01/06/2018","11.878,65","12.311,71","12.467,30","11.874,14","","-3,70%"
"01/05/2018","12.335,37","13.028,01","13.067,59","12.335,37","","-5,32%"
"01/04/2018","13.028,01","13.062,38","13.093,59","12.795,29","","-0,26%"
"01/03/2018","13.062,38","13.142,71","13.293,51","12.889,72","","-0,61%"
"01/02/2018","13.142,71","13.075,49","13.387,50","12.975,30","","0,51%"
"01/01/2018","13.075,49","12.388,82","13.110,13","12.372,18","","5,54%"
"01/12/2017","12.388,82","12.568,42","12.577,59","12.100,40","","-1,43%"
"01/11/2017","12.568,42","12.373,04","12.750,80","12.342,44","","1,58%"
"01/10/2017","12.373,04","12.140,47","12.522,57","12.107,16","","1,92%"
"01/09/2017","12.140,47","12.397,12","12.794,57","12.114,56","","-2,07%"
"01/08/2017","12.397,12","12.201,33","12.455,51","12.098,66","","1,60%"
"01/07/2017","12.201,33","12.015,84","12.414,42","11.988,42","","1,54%"
"01/06/2017","12.015,84","11.562,56","12.098,94","11.540,81","","3,78%"
"01/05/2017","11.577,96","11.637,93","11.879,09","11.493,70","","-0,52%"
"01/04/2017","11.637,93","11.379,71","11.644,51","11.210,12","","2,27%"
"01/03/2017","11.379,71","11.926,49","12.044,54","11.338,27","","-4,58%"
"01/02/2017","11.926,49","12.228,90","12.370,33","11.692,21","","-2,47%"
"01/01/2017","12.228,90","11.644,22","12.950,84","11.518,44","","5,02%"
"01/12/2016","11.644,22","10.568,19","11.930,94","10.564,49","","9,10%"
"01/11/2016","10.672,53","10.564,64","10.742,98","10.480,12","","1,02%"
"01/10/2016","10.564,64","10.039,14","10.587,48","10.020,09","","5,23%"
"01/09/2016","10.039,14","9.860,65","10.060,87","9.857,12","","1,81%"
"01/08/2016","9.860,77","9.882,20","9.996,85","9.852,28","","-0,22%"
"01/07/2016","9.882,20","9.505,98","9.944,99","9.457,48","","3,96%"
"01/06/2016","9.505,98","9.756,28","9.843,42","9.427,34","","-2,58%"
"01/05/2016","9.757,92","9.867,10","10.234,53","9.702,79","","-2,18%"
"01/04/2016","9.975,72","9.382,21","9.975,72","9.268,74","","6,94%"
"01/03/2016","9.327,98","8.908,54","9.624,74","8.892,85","","4,71%"
"01/02/2016","8.908,44","8.890,66","9.222,09","8.859,64","","0,11%"
"01/01/2016","8.898,99","8.918,89","8.931,24","8.803,58","","-0,30%"
"01/12/2015","8.925,71","9.085,12","9.116,88","8.789,89","","-1,84%"
"01/11/2015","9.093,21","9.073,76","9.309,51","9.044,11","","0,13%"
"01/10/2015","9.081,80","9.110,38","9.136,52","8.921,04","","-0,36%"
"01/09/2015","9.114,29","9.290,98","9.338,87","9.037,50","","-2,48%"
"01/08/2015","9.345,70","9.812,28","9.892,79","9.252,66","","-4,05%"
"01/07/2015","9.740,01","9.576,35","9.750,01","9.505,02","","1,69%"
"01/06/2015","9.578,34","9.708,62","9.737,31","9.481,63","","-1,37%"
"01/05/2015","9.711,36","9.925,82","10.002,57","9.533,61","","-2,27%"
"01/04/2015","9.937,38","10.255,84","10.268,08","9.854,58","","-3,24%"
"01/03/2015","10.269,75","10.434,34","10.547,66","10.256,73","","-1,82%"
"01/02/2015","10.460,62","10.203,91","10.481,97","10.138,68","","2,33%"
"01/01/2015","10.222,56","9.565,92","10.381,58","9.565,92","","6,26%"
"01/12/2014","9.620,11","9.970,51","10.015,50","9.532,27","","-3,56%"
"01/11/2014","9.975,71","10.328,64","10.381,72","9.949,45","","-3,64%"
"01/10/2014","10.352,05","10.050,72","10.364,56","9.967,84","","2,69%"
"01/09/2014","10.080,80","9.543,56","10.080,80","9.517,70","","5,62%"
"01/08/2014","9.544,69","9.284,08","9.579,05","9.272,66","","2,29%"
"01/07/2014","9.331,09","9.195,41","9.339,29","9.171,58","","1,13%"
"01/06/2014","9.226,63","9.495,53","9.511,60","9.184,92","","-2,82%"
"01/05/2014","9.494,79","9.458,50","9.503,85","9.330,82","","0,24%"
