trimestre,division,ice,type
T2/2011,6- Produits finis d'equipement agricole,181.9,import
T2/2011,7- Produits finis d'equipement industriel,180.9,import
T2/2011,8- Produits finis de consommation,180.5,import
T2/2011,IMPORTATIONS,242.3,import
T3/2011,"1- Alimentation, boissons et tabacs",160.0,export
T3/2011,2- Energie et lubrifiants,537.1,export
T3/2011,3- Produits bruts d'origine animale et vegetale,179.0,export
T3/2011,4- Produits bruts d'origine minerale,395.0,export
T3/2011,5- Demi-Produits,320.4,export
T3/2011,6- Produits finis d'equipement agricole,189.6,export
T3/2011,7- Produits finis d'equipement industriel,189.6,export
T3/2011,8- Produits finis de consommation,157.5,export
T3/2011,EXPORTATIONS,216.6,export
T3/2011,"1- Alimentation, boissons et tabacs",227.6,import
T3/2011,2- Energie et lubrifiants,385.8,import
T3/2011,3- Produits bruts d'origine animale et vegetale,317.5,import
T3/2011,4- Produits bruts d'origine minerale,434.3,import
T3/2011,5- Demi-Produits,243.2,import
T3/2011,6- Produits finis d'equipement agricole,193.2,import
T3/2011,7- Produits finis d'equipement industriel,185.0,import
T3/2011,8- Produits finis de consommation,182.8,import
T3/2011,IMPORTATIONS,242.6,import
T4/2011,"1- Alimentation, boissons et tabacs",179.0,export
T4/2011,2- Energie et lubrifiants,792.2,export
T4/2011,3- Produits bruts d'origine animale et vegetale,149.8,export
T4/2011,4- Produits bruts d'origine minerale,418.5,export
T4/2011,5- Demi-Produits,310.9,export
T4/2011,6- Produits finis d'equipement agricole,183.6,export
T4/2011,7- Produits finis d'equipement industriel,183.6,export
T4/2011,8- Produits finis de consommation,137.8,export
T4/2011,EXPORTATIONS,214.2,export
T4/2011,"1- Alimentation, boissons et tabacs",296.9,import
T4/2011,2- Energie et lubrifiants,390.3,import
T4/2011,3- Produits bruts d'origine animale et vegetale,293.4,import
T4/2011,4- Produits bruts d'origine minerale,373.5,import
T4/2011,5- Demi-Produits,251.1,import
T4/2011,6- Produits finis d'equipement agricole,190.8,import
T4/2011,7- Produits finis d'equipement industriel,208.8,import
T4/2011,8- Produits finis de consommation,189.8,import
T4/2011,IMPORTATIONS,254.2,import
T1/2012,"1- Alimentation, boissons et tabacs",177.8,export
T1/2012,2- Energie et lubrifiants,1235.7,export
T1/2012,3- Produits bruts d'origine animale et vegetale,146.9,export
T1/2012,4- Produits bruts d'origine minerale,404.1,export
T1/2012,5- Demi-Produits,311.2,export
T1/2012,6- Produits finis d'equipement agricole,206.4,export
T1/2012,7- Produits finis d'equipement industriel,206.4,export
T1/2012,8- Produits finis de consommation,158.9,export
T1/2012,EXPORTATIONS,228.2,export
T1/2012,"1- Alimentation, boissons et tabacs",271.7,import
T1/2012,2- Energie et lubrifiants,474.3,import
T1/2012,3- Produits bruts d'origine animale et vegetale,289.4,import
T1/2012,4- Produits bruts d'origine minerale,425.6,import
T1/2012,5- Demi-Produits,241.5,import
T1/2012,6- Produits finis d'equipement agricole,207.9,import
T1/2012,7- Produits finis d'equipement industriel,199.4,import
T1/2012,8- Produits finis de consommation,202.5,import
T1/2012,IMPORTATIONS,268.0,import
T2/2012,"1- Alimentation, boissons et tabacs",185.1,export
T2/2012,2- Energie et lubrifiants,619.3,export
T2/2012,3- Produits bruts d'origine animale et vegetale,166.1,export
T2/2012,4- Produits bruts d'origine minerale,341.6,export
T2/2012,5- Demi-Produits,286.2,export
T2/2012,6- Produits finis d'equipement agricole,176.9,export
T2/2012,7- Produits finis d'equipement industriel,176.9,export
T2/2012,8- Produits finis de consommation,167.4,export
T2/2012,EXPORTATIONS,212.2,export
T2/2012,"1- Alimentation, boissons et tabacs",289.0,import
T2/2012,2- Energie et lubrifiants,443.8,import
