division,ice,annee,trimestre,type
"1- Alimentation, boissons et tabacs",95.8,2024,t2,export
2- Energie et lubrifiants,97.7,2024,t2,export
3- Produits bruts d’origine animale et végétale,201.6,2024,t2,export
4- Produits bruts d’origine minérale,130.8,2024,t2,export
5- Demi-Produits,121.0,2024,t2,export
6- Produits finis d’équipement agricole,88.9,2024,t2,export
7- Produits finis d’équipement industriel,126.0,2024,t2,export
8- Produits finis de consommation,113.5,2024,t2,export
EXPORTATIONS,118.1,2024,t2,export
"1- Alimentation, boissons et tabacs",129.3,2024,t2,import
2- Energie et lubrifiants,104.0,2024,t2,import
3- Produits bruts d’origine animale et végétale,112.6,2024,t2,import
4- Produits bruts d’origine minérale,64.5,2024,t2,import
5- Demi-Produits,121.7,2024,t2,import
6- Produits finis d’équipement agricole,124.9,2024,t2,import
7- Produits finis d’équipement industriel,96.8,2024,t2,import
8- Produits finis de consommation,120.5,2024,t2,import
IMPORTATIONS,111.1,2024,t2,import
