division,ice,annee,trimestre,type
"1- Alimentation, boissons et tabacs",100.7,2025,t1,export
2- Energie et lubrifiants,89.5,2025,t1,export
3- Produits bruts d’origine animale et végétale,164.7,2025,t1,export
4- Produits bruts d’origine minérale,121.3,2025,t1,export
5- Demi-Produits,131.1,2025,t1,export
6- Produits finis d’équipement agricole,73.8,2025,t1,export
7- Produits finis d’équipement industriel,117.4,2025,t1,export
8- Produits finis de consommation,108.2,2025,t1,export
"1- Alimentation, boissons et tabacs",132.2,2025,t1,import
2- Energie et lubrifiants,98.2,2025,t1,import
3- Produits bruts d’origine animale et végétale,112.5,2025,t1,import
4- Produits bruts d’origine minérale,84.5,2025,t1,import
5- Demi-Produits,119.7,2025,t1,import
6- Produits finis d’équipement agricole,112.1,2025,t1,import
7- Produits finis d’équipement industriel,96.9,2025,t1,import
8- Produits finis de consommation,113.7,2025,t1,import
