Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.5,2015,février
02 - Boissons alcoolisées et tabac,118.3,2015,février
03 - Articles d'habillements et chaussures,112.7,2015,février
"04 - Logements, eau, électricité et autres combustibles",112.6,2015,février
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2015,février
06 - Santé,104.1,2015,février
07 - Transport,107.6,2015,février
08 - Communication,59.5,2015,février
09 - Loisirs et culture,96.4,2015,février
10 - Enseignement,138.5,2015,février
11 - Restaurants et hôtels,121.3,2015,février
12 - Biens et services divers,113.9,2015,février
Ensemble,114.5,2015,février
Produits alimentaires,122.3,2015,février
Produits non alimentaires,109.0,2015,février
