Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,115.6,2010,avril
02 - Boissons alcoolisées et tabac,108.3,2010,avril
03 - Articles d'habillements et chaussures,104.2,2010,avril
"04 - Logements, eau, électricité et autres combustibles",104.2,2010,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",106.0,2010,avril
06 - Santé,102.9,2010,avril
07 - Transport,103.3,2010,avril
08 - Communication,90.6,2010,avril
09 - Loisirs et culture,97.4,2010,avril
10 - Enseignement,113.3,2010,avril
11 - Restaurants et hôtels,109.1,2010,avril
12 - Biens et services divers,106.5,2010,avril
Ensemble,108.7,2010,avril
Produits alimentaires,115.2,2010,avril
Produits non alimentaires,104.0,2010,avril
