Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,116.9,2012,janvier
02 - Boissons alcoolisées et tabac,108.4,2012,janvier
03 - Articles d'habillements et chaussures,108.2,2012,janvier
"04 - Logements, eau, électricité et autres combustibles",105.1,2012,janvier
"05 - Meubles, articles de ménages et entretien courant du foyer",107.4,2012,janvier
06 – Santé,103.5,2012,janvier
07 – Transport,103.7,2012,janvier
08 – Communication,78.0,2012,janvier
09 - Loisirs et culture,96.5,2012,janvier
10 – Enseignement,122.1,2012,janvier
11 - Restaurants et hôtels,112.4,2012,janvier
12 - Biens et services divers,110.3,2012,janvier
Ensemble,109.8,2012,janvier
Produits alimentaires,116.4,2012,janvier
Produits non alimentaires,105.1,2012,janvier
