Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.4,2014,novembre
02 - Boissons alcoolisées et tabac,116.3,2014,novembre
03 - Articles d'habillements et chaussures,112.7,2014,novembre
"04 - Logements, eau, électricité et autres combustibles",111.8,2014,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2014,novembre
06 - Santé,103.8,2014,novembre
07 - Transport,112.8,2014,novembre
08 - Communication,59.5,2014,novembre
09 - Loisirs et culture,96.3,2014,novembre
10 - Enseignement,138.5,2014,novembre
11 - Restaurants et hôtels,120.7,2014,novembre
12 - Biens et services divers,113.7,2014,novembre
Ensemble,114.4,2014,novembre
Produits alimentaires,121.1,2014,novembre
Produits non alimentaires,109.7,2014,novembre
