Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,103.1,2020,septembre
02 - Boissons alcoolisées et tabac,122.6,2020,septembre
03 - Articles d'habillements et chaussures,102.4,2020,septembre
"04 - Logements, eau, électricité et autres combustibles",101.9,2020,septembre
"05 - Meubles,articles de ménages et entretien courant du foyer",100.9,2020,septembre
06 - Santé,101.6,2020,septembre
07 - Transport,102.6,2020,septembre
08 - Communication,104.0,2020,septembre
09 - Loisirs et culture,99.2,2020,septembre
10 - Enseignement,110.0,2020,septembre
11 - Restaurants et hôtels,103.7,2020,septembre
12 - Biens et services divers,104.1,2020,septembre
Ensemble,103.3,2020,septembre
Produits alimentaires,103.9,2020,septembre
Produits non alimentaires,103.0,2020,septembre
