Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.1,2017,mai
02 - Boissons alcoolisées et tabac,122.8,2017,mai
03 - Articles d'habillements et chaussures,115.2,2017,mai
"04 - Logements, eau, électricité et autres combustibles",115.1,2017,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",109.6,2017,mai
06 - Santé,105.2,2017,mai
07 - Transport,110.3,2017,mai
08 - Communication,59.4,2017,mai
09 - Loisirs et culture,98.7,2017,mai
10 - Enseignement,145.5,2017,mai
11 - Restaurants et hôtels,129.4,2017,mai
12 - Biens et services divers,115.2,2017,mai
Ensemble,117.5,2017,mai
Produits alimentaires,126.0,2017,mai
Produits non alimentaires,111.6,2017,mai
