Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.2,2016,novembre
02 - Boissons alcoolisées et tabac,122.7,2016,novembre
03 - Articles d'habillements et chaussures,114.5,2016,novembre
"04 - Logements, eau, électricité et autres combustibles",114.2,2016,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.4,2016,novembre
06 - Santé,104.6,2016,novembre
07 - Transport,109.9,2016,novembre
08 - Communication,59.4,2016,novembre
09 - Loisirs et culture,98.7,2016,novembre
10 - Enseignement,145.5,2016,novembre
11 - Restaurants et hôtels,126.8,2016,novembre
12 - Biens et services divers,114.5,2016,novembre
Ensemble,117.6,2016,novembre
Produits alimentaires,127.0,2016,novembre
Produits non alimentaires,110.9,2016,novembre
