Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.2,2014,octobre
02 - Boissons alcoolisées et tabac,116.3,2014,octobre
03 - Articles d'habillements et chaussures,112.6,2014,octobre
"04 - Logements, eau, électricité et autres combustibles",111.8,2014,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2014,octobre
06 - Santé,103.7,2014,octobre
07 - Transport,113.7,2014,octobre
08 - Communication,59.5,2014,octobre
09 - Loisirs et culture,96.3,2014,octobre
10 - Enseignement,138.5,2014,octobre
11 - Restaurants et hôtels,120.4,2014,octobre
12 - Biens et services divers,113.6,2014,octobre
Ensemble,114.4,2014,octobre
Produits alimentaires,120.9,2014,octobre
Produits non alimentaires,109.8,2014,octobre
