Division par produits,ipc,annee,mois
Produits alimentaires,116.6,2010,septembre
01 - Produits alimentaires et boissons non alcoolisées,117.0,2010,septembre
02 - Boissons alcoolisées et tabac,108.3,2010,septembre
Produits non alimentaires,104.5,2010,septembre
03 - Articles d'habillements et chaussures,104.1,2010,septembre
"04 - Logements, eau, électricité et autres combustibles",104.3,2010,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",106.3,2010,septembre
06 - Santé,102.9,2010,septembre
07 - Transport,103.3,2010,septembre
08 - Communication,90.5,2010,septembre
09 - Loisirs et culture,96.7,2010,septembre
10 - Enseignement,118.0,2010,septembre
11 - Restaurants et hôtels,109.7,2010,septembre
12 - Biens et services divers,107.2,2010,septembre
Ensemble,109.5,2010,septembre
