Division par produits,ipc,annee,mois
Produits alimentaires,118.6,2010,octobre
01 - Produits alimentaires et boissons non alcoolisées,119.2,2010,octobre
02 - Boissons alcoolisées et tabac,108.3,2010,octobre
Produits non alimentaires,104.6,2010,octobre
03 - Articles d'habillement et chaussures,104.6,2010,octobre
"04 - Logement, eau, électricité et autres combustibles",104.4,2010,octobre
"05 - Meubles, articles de ménage et entretien courant du foyer",106.3,2010,octobre
06 - Santé,103.0,2010,octobre
07 - Transport,103.3,2010,octobre
08 - Communication,90.5,2010,octobre
09 - Loisirs et culture,96.7,2010,octobre
10 - Enseignement,118.5,2010,octobre
11 - Restaurants et hôtels,109.8,2010,octobre
12 - Biens et services divers,107.9,2010,octobre
Ensemble,110.4,2010,octobre
