Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.4,2018,juin
02 - Boissons alcoolisées et tabac,138.5,2018,juin
03 - Articles d'habillements et chaussures,116.9,2018,juin
"04 - Logements, eau, électricité et autres combustibles",116.1,2018,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",110.8,2018,juin
06 - Santé,105.6,2018,juin
07 - Transport,112.7,2018,juin
08 - Communication,59.4,2018,juin
09 - Loisirs et culture,99.5,2018,juin
10 - Enseignement,148.4,2018,juin
11 - Restaurants et hôtels,132.4,2018,juin
12 - Biens et services divers,122.7,2018,juin
Ensemble,120.9,2018,juin
Produits alimentaires,130.7,2018,juin
Produits non alimentaires,113.8,2018,juin
