Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.8,2019,août
02 - Boissons alcoolisées et tabac,159.4,2019,août
03 - Articles d'habillements et chaussures,117.9,2019,août
"04 - Logements, eau, électricité et autres combustibles",117.6,2019,août
"05 - Meubles, articles de ménages et entretien courant du foyer",112.5,2019,août
06 - Santé,106.9,2019,août
07 - Transport,113.1,2019,août
08 - Communication,59.7,2019,août
09 - Loisirs et culture,101.4,2019,août
10 - Enseignement,153.5,2019,août
11 - Restaurants et hôtels,133.9,2019,août
12 - Biens et services divers,123.6,2019,août
Ensemble,120.6,2019,août
Produits alimentaires,128.1,2019,août
Produits non alimentaires,114.9,2019,août
