Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,116.4,2011,décembre
02 - Boissons alcoolisées et tabac,108.4,2011,décembre
03 - Articles d'habillements et chaussures,107.7,2011,décembre
"04 - Logements, eau, électricité et autres combustibles",105.0,2011,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.4,2011,décembre
06 - Santé,103.5,2011,décembre
07 - Transport,103.5,2011,décembre
08 - Communication,78.1,2011,décembre
09 - Loisirs et culture,96.5,2011,décembre
10 - Enseignement,122.1,2011,décembre
11 - Restaurants et hôtels,112.2,2011,décembre
12 - Biens et services divers,110.3,2011,décembre
Ensemble,109.6,2011,décembre
Produits alimentaires,116.0,2011,décembre
Produits non alimentaires,105.0,2011,décembre
