Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.3,2023,septembre
02 - Boissons alcoolisées et tabac,136.8,2023,septembre
03 - Articles d'habillements et chaussures,114.2,2023,septembre
"04 - Logements, eau, électricité et autres combustibles",104.9,2023,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",111.7,2023,septembre
06 - Santé,102.6,2023,septembre
07 - Transport,121.9,2023,septembre
08 - Communication,104.2,2023,septembre
09 - Loisirs et culture,105.5,2023,septembre
10 - Enseignement,118.6,2023,septembre
11 - Restaurants et hôtels,115.1,2023,septembre
12 - Biens et services divers,113.1,2023,septembre
Ensemble,118.7,2023,septembre
Produits alimentaires,130.6,2023,septembre
Produits non alimentaires,111.0,2023,septembre
