Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,123.8,2015,janvier
02 - Boissons alcoolisées et tabac,118.1,2015,janvier
03 - Articles d'habillements et chaussures,112.8,2015,janvier
"04 - Logements, eau, électricité et autres combustibles",112.5,2015,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",108.5,2015,janvier
06 – Santé,104.0,2015,janvier
07 – Transport,107.4,2015,janvier
08 – Communication,59.5,2015,janvier
09 - Loisirs et culture,96.4,2015,janvier
10 – Enseignement,138.5,2015,janvier
11 - Restaurants et hôtels,121.2,2015,janvier
12 - Biens et services divers,113.7,2015,janvier
Ensemble,115.0,2015,janvier
Produits alimentaires,123.5,2015,janvier
Produits non alimentaires,108.9,2015,janvier
