Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.3,2023,juillet
02 - Boissons alcoolisées et tabac,136.8,2023,juillet
03 - Articles d'habillements et chaussures,114.0,2023,juillet
"04 - Logements, eau, électricité et autres combustibles",104.7,2023,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",111.4,2023,juillet
06 - Santé,102.4,2023,juillet
07 - Transport,117.4,2023,juillet
08 - Communication,104.2,2023,juillet
09 - Loisirs et culture,105.7,2023,juillet
10 - Enseignement,116.7,2023,juillet
11 - Restaurants et hôtels,114.3,2023,juillet
12 - Biens et services divers,112.8,2023,juillet
Ensemble,117.3,2023,juillet
Produits alimentaires,128.6,2023,juillet
Produits non alimentaires,110.0,2023,juillet
