Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,104.3,2021,décembre
02 - Boissons alcoolisées et tabac,125.5,2021,décembre
03 - Articles d'habillements et chaussures,106.7,2021,décembre
"04 - Logements, eau, électricité et autres combustibles",103.0,2021,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",103.4,2021,décembre
06 – Santé,101.7,2021,décembre
07 – Transport,109.5,2021,décembre
08 – Communication,103.7,2021,décembre
09 - Loisirs et culture,101.5,2021,décembre
10 – Enseignement,111.7,2021,décembre
11 - Restaurants et hôtels,105.1,2021,décembre
12 - Biens et services divers,108.7,2021,décembre
Ensemble,105.5,2021,décembre
Produits alimentaires,105.1,2021,décembre
Produits non alimentaires,105.7,2021,décembre
