Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.4,2018,juillet
02 - Boissons alcoolisées et tabac,138.5,2018,juillet
03 - Articles d'habillements et chaussures,116.7,2018,juillet
"04 - Logements, eau, électricité et autres combustibles",116.3,2018,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",111.3,2018,juillet
06 - Santé,105.6,2018,juillet
07 - Transport,112.7,2018,juillet
08 - Communication,59.2,2018,juillet
09 - Loisirs et culture,99.5,2018,juillet
10 - Enseignement,148.4,2018,juillet
11 - Restaurants et hôtels,132.6,2018,juillet
12 - Biens et services divers,122.9,2018,juillet
Ensemble,119.8,2018,juillet
Produits alimentaires,127.8,2018,juillet
Produits non alimentaires,113.7,2018,juillet
