Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.8,2018,mars
02 - Boissons alcoolisées et tabac,138.5,2018,mars
03 - Articles d'habillements et chaussures,116.4,2018,mars
"04 - Logements, eau, électricité et autres combustibles",115.9,2018,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",110.2,2018,mars
06 - Santé,105.5,2018,mars
07 - Transport,111.0,2018,mars
08 - Communication,59.4,2018,mars
09 - Loisirs et culture,99.4,2018,mars
10 - Enseignement,148.4,2018,mars
11 - Restaurants et hôtels,131.1,2018,mars
12 - Biens et services divers,122.3,2018,mars
Ensemble,119.6,2018,mars
Produits alimentaires,128.1,2018,mars
Produits non alimentaires,113.2,2018,mars
