Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,125.1,2019,janvier
02 - Boissons alcoolisées et tabac,159.4,2019,janvier
03 - Articles d'habillements et chaussures,117.6,2019,janvier
"04 - Logements, eau, électricité et autres combustibles",116.9,2019,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",112.1,2019,janvier
06 – Santé,106.5,2019,janvier
07 – Transport,109.0,2019,janvier
08 – Communication,59.6,2019,janvier
09 - Loisirs et culture,99.7,2019,janvier
10 – Enseignement,153.5,2019,janvier
11 - Restaurants et hôtels,133.0,2019,janvier
12 - Biens et services divers,123.0,2019,janvier
Ensemble,119.5,2019,janvier
Produits alimentaires,126.4,2019,janvier
Produits non alimentaires,114.0,2019,janvier
