Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,110.2,2010,janvier
02 - Boissons alcoolisées et tabac,108.2,2010,janvier
03 - Articles d'habillements et chaussures,104.5,2010,janvier
"04 - Logements, eau, électricité et autres combustibles",104.2,2010,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",106.0,2010,janvier
06 - Santé,102.4,2010,janvier
07 - Transport,103.2,2010,janvier
08 - Communication,90.9,2010,janvier
09 - Loisirs et culture,97.7,2010,janvier
10 - Enseignement,113.3,2010,janvier
11 - Restaurants et hôtels,108.0,2010,janvier
12 - Biens et services divers,106.2,2010,janvier
Ensemble,106.5,2010,janvier
Produits alimentaires,110.1,2010,janvier
Produits non alimentaires,104.0,2010,janvier
