Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.9,2012,décembre
02 - Boissons alcoolisées et tabac,108.5,2012,décembre
03 - Articles d'habillements et chaussures,109.2,2012,décembre
"04 - Logements, eau, électricité et autres combustibles",105.6,2012,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",106.9,2012,décembre
06 – Santé,103.9,2012,décembre
07 – Transport,108.7,2012,décembre
08 – Communication,65.6,2012,décembre
09 - Loisirs et culture,97.4,2012,décembre
10 – Enseignement,129.6,2012,décembre
11 - Restaurants et hôtels,114.9,2012,décembre
12 - Biens et services divers,111.1,2012,décembre
Ensemble,112.4,2012,décembre
Produits alimentaires,121.2,2012,décembre
Produits non alimentaires,106.2,2012,décembre
