Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.9,2024,mai
02 - Boissons alcoolisées et tabac,140.0,2024,mai
03 - Articles d'habillements et chaussures,116.1,2024,mai
"04 - Logements, eau, électricité et autres combustibles",107.0,2024,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",112.1,2024,mai
06 - Santé,101.2,2024,mai
07 - Transport,120.6,2024,mai
08 - Communication,104.0,2024,mai
09 - Loisirs et culture,105.7,2024,mai
10 - Enseignement,119.1,2024,mai
11 - Restaurants et hôtels,116.4,2024,mai
12 - Biens et services divers,114.9,2024,mai
Ensemble,118.5,2024,mai
Produits alimentaires,129.3,2024,mai
Produits non alimentaires,111.6,2024,mai
