Division par produits,ipc,annee,mois
Produits alimentaires,114.3,2011,mai
01 - Produits alimentaires et boissons non alcoolisées,114.6,2011,mai
02 - Boissons alcoolisées et tabac,108.3,2011,mai
Produits non alimentaires,104.8,2011,mai
03 - Articles d'habillement et chaussures,105.3,2011,mai
"04 - Logements, eau, électricité et autres combustibles",104.7,2011,mai
"05 - Meubles, articles de ménage et entretien courant du foyer",107.1,2011,mai
06 - Santé,103.0,2011,mai
07 - Transport,103.0,2011,mai
08 - Communications,89.2,2011,mai
09 - Loisirs et culture,96.4,2011,mai
10 - Enseignement,118.5,2011,mai
11 - Restaurants et hôtels,110.4,2011,mai
12 - Biens et services divers,108.7,2011,mai
Ensemble,108.7,2011,mai
