Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,120.7,2012,septembre
02 - Boissons alcoolisées et tabac,108.5,2012,septembre
03 - Articles d'habillements et chaussures,108.3,2012,septembre
"04 - Logements, eau, électricité et autres combustibles",105.3,2012,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.1,2012,septembre
06 - Santé,103.9,2012,septembre
07 - Transport,108.5,2012,septembre
08 - Communication,65.6,2012,septembre
09 - Loisirs et culture,97.1,2012,septembre
10 - Enseignement,126.1,2012,septembre
11 - Restaurants et hôtels,113.3,2012,septembre
12 - Biens et services divers,110.7,2012,septembre
Ensemble,111.7,2012,septembre
Produits alimentaires,120.0,2012,septembre
Produits non alimentaires,105.7,2012,septembre
