Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.0,2024,septembre
02 - Boissons alcoolisées et tabac,140.2,2024,septembre
03 - Articles d'habillements et chaussures,116.5,2024,septembre
"04 - Logements, eau, électricité, gaz et autres combustibles",108.7,2024,septembre
"05 - Meubles,articles de ménages et entretien courant du foyer",112.2,2024,septembre
06 - Santé,101.2,2024,septembre
07 - Transport,119.0,2024,septembre
08 - Communication,104.0,2024,septembre
09 - Loisirs et culture,105.4,2024,septembre
10 - Enseignement,121.7,2024,septembre
11 - Restaurants et hôtels,119.1,2024,septembre
12 - Biens et services divers,115.5,2024,septembre
Ensemble,119.7,2024,septembre
Produits alimentaires,131.4,2024,septembre
Produits non alimentaires,112.1,2024,septembre
