Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.5,2025,septembre
02 - Boissons alcoolisées et tabac,144.9,2025,septembre
03 - Articles d'habillements et chaussures,117.6,2025,septembre
"04 - Logements, eau, électricité, gaz et autres combustibles",109.4,2025,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",113.1,2025,septembre
06 - Santé,101.4,2025,septembre
07 - Transport,116.1,2025,septembre
08 - Communication,103.8,2025,septembre
09 - Loisirs et culture,104.9,2025,septembre
10 - Enseignement,124.3,2025,septembre
11 - Restaurants et hôtels,122.5,2025,septembre
12 - Biens et services divers,117.1,2025,septembre
Ensemble,120.2,2025,septembre
Produits alimentaires,132.0,2025,septembre
Produits non alimentaires,112.5,2025,septembre
