Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.3,2024,octobre
02 - Boissons alcoolisées et tabac,140.2,2024,octobre
03 - Articles d'habillements et chaussures,116.7,2024,octobre
"04 - Logements, eau, électricité et autres combustibles",108.7,2024,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.3,2024,octobre
06 - Santé,101.2,2024,octobre
07 - Transport,118.1,2024,octobre
08 - Communication,104.0,2024,octobre
09 - Loisirs et culture,105.4,2024,octobre
10 - Enseignement,121.8,2024,octobre
11 - Restaurants et hôtels,119.3,2024,octobre
12 - Biens et services divers,115.7,2024,octobre
Ensemble,119.4,2024,octobre
Produits alimentaires,130.7,2024,octobre
Produits non alimentaires,112.0,2024,octobre
