Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,114.5,2022,juillet
02 - Boissons alcoolisées et tabac,129.8,2022,juillet
03 - Articles d'habillements et chaussures,110.0,2022,juillet
"04 - Logements, eau, électricité et autres combustibles",103.7,2022,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",108.0,2022,juillet
06 - Santé,101.9,2022,juillet
07 - Transport,126.2,2022,juillet
08 - Communication,104.0,2022,juillet
09 - Loisirs et culture,105.4,2022,juillet
10 - Enseignement,111.7,2022,juillet
11 - Restaurants et hôtels,108.0,2022,juillet
12 - Biens et services divers,110.1,2022,juillet
Ensemble,111.8,2022,juillet
Produits alimentaires,115.1,2022,juillet
Produits non alimentaires,109.6,2022,juillet
