Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,117.1,2011,février
02 - Boissons alcoolisées et tabac,108.3,2011,février
03 - Articles d'habillement et chaussures,105.4,2011,février
"04 - Logements, eau, électricité et autres combustibles",104.6,2011,février
"05 - Meubles, articles de ménage et entretien courant du foyer",106.7,2011,février
06 - Santé,103.0,2011,février
07 - Transport,103.0,2011,février
08 - Communications,89.2,2011,février
09 - Loisirs et culture,96.5,2011,février
10 - Enseignement,118.5,2011,février
11 - Restaurants et hôtels,110.1,2011,février
12 - Biens et services divers,108.6,2011,février
Ensemble,109.7,2011,février
Produits alimentaires,116.7,2011,février
Produits non alimentaires,104.7,2011,février
