Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.3,2018,novembre
02 - Boissons alcoolisées et tabac,138.5,2018,novembre
03 - Articles d'habillements et chaussures,117.7,2018,novembre
"04 - Logements, eau, électricité et autres combustibles",116.7,2018,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",111.4,2018,novembre
06 - Santé,106.3,2018,novembre
07 - Transport,113.1,2018,novembre
08 - Communication,59.6,2018,novembre
09 - Loisirs et culture,99.7,2018,novembre
10 - Enseignement,153.5,2018,novembre
11 - Restaurants et hôtels,132.7,2018,novembre
12 - Biens et services divers,123.0,2018,novembre
Ensemble,120.7,2018,novembre
Produits alimentaires,128.6,2018,novembre
Produits non alimentaires,114.7,2018,novembre
