Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,118.8,2014,mai
02 - Boissons alcoolisées et tabac,116.4,2014,mai
03 - Articles d'habillements et chaussures,111.5,2014,mai
"04 - Logements, eau, électricité et autres combustibles",107.5,2014,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",108.3,2014,mai
06 - Santé,105.9,2014,mai
07 - Transport,112.9,2014,mai
08 - Communication,59.5,2014,mai
09 - Loisirs et culture,96.4,2014,mai
10 - Enseignement,134.2,2014,mai
11 - Restaurants et hôtels,119.3,2014,mai
12 - Biens et services divers,113.3,2014,mai
Ensemble,112.6,2014,mai
Produits alimentaires,118.7,2014,mai
Produits non alimentaires,108.3,2014,mai
