Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,115.6,2010,mai
02 - Boissons alcoolisées et tabac,108.3,2010,mai
03 - Articles d'habillement et chaussures,104.0,2010,mai
"04 - Logement, eau, électricité et autres combustibles",104.3,2010,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",106.1,2010,mai
06 - Santé,103.0,2010,mai
07 - Transport,103.2,2010,mai
08 - Communication,90.5,2010,mai
09 - Loisirs et culture,97.2,2010,mai
10 - Enseignement,113.3,2010,mai
11 - Restaurants et hôtels,109.2,2010,mai
12 - Biens et services divers,106.6,2010,mai
Ensemble,108.7,2010,mai
Produits alimentaires,115.2,2010,mai
Produits non alimentaires,104.0,2010,mai
