Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.2,2019,avril
02 - Boissons alcoolisées et tabac,159.4,2019,avril
03 - Articles d'habillements et chaussures,117.0,2019,avril
"04 - Logements, eau, électricité et autres combustibles",117.1,2019,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",112.2,2019,avril
06 - Santé,106.6,2019,avril
07 - Transport,112.3,2019,avril
08 - Communication,59.6,2019,avril
09 - Loisirs et culture,101.0,2019,avril
10 - Enseignement,153.5,2019,avril
11 - Restaurants et hôtels,133.2,2019,avril
12 - Biens et services divers,123.3,2019,avril
Ensemble,120.2,2019,avril
Produits alimentaires,127.5,2019,avril
Produits non alimentaires,114.4,2019,avril
