Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,114.5,2010,décembre
02 - Boissons alcoolisées et tabac,108.3,2010,décembre
03 - Articles d'habillements et chaussures,105.1,2010,décembre
"04 - Logements, eau, électricité et autres combustibles",104.6,2010,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",106.3,2010,décembre
06 - Santé,103.0,2010,décembre
07 - Transport,102.9,2010,décembre
08 - Communication,89.2,2010,décembre
09 - Loisirs et culture,96.6,2010,décembre
10 - Enseignement,118.5,2010,décembre
11 - Restaurants et hôtels,109.8,2010,décembre
12 - Biens et services divers,108.3,2010,décembre
Ensemble,108.6,2010,décembre
Produits alimentaires,114.2,2010,décembre
Produits non alimentaires,104.6,2010,décembre
