Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,124.5,2017,avril
02 - Boissons alcoolisées et tabac,122.8,2017,avril
03 - Articles d'habillements et chaussures,115.2,2017,avril
"04 - Logements, eau, électricité et autres combustibles",115.1,2017,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",109.6,2017,avril
06 - Santé,105.1,2017,avril
07 - Transport,110.6,2017,avril
08 - Communication,59.4,2017,avril
09 - Loisirs et culture,98.7,2017,avril
10 - Enseignement,145.5,2017,avril
11 - Restaurants et hôtels,129.4,2017,avril
12 - Biens et services divers,114.9,2017,avril
Ensemble,116.9,2017,avril
Produits alimentaires,124.4,2017,avril
Produits non alimentaires,111.6,2017,avril
