Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,119.2,2022,octobre
02 - Boissons alcoolisées et tabac,129.8,2022,octobre
03 - Articles d'habillements et chaussures,111.3,2022,octobre
"04 - Logements, eau, électricité et autres combustibles",104.0,2022,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.4,2022,octobre
06 - Santé,101.9,2022,octobre
07 - Transport,122.2,2022,octobre
08 - Communication,104.3,2022,octobre
09 - Loisirs et culture,106.2,2022,octobre
10 - Enseignement,116.5,2022,octobre
11 - Restaurants et hôtels,109.7,2022,octobre
12 - Biens et services divers,110.9,2022,octobre
Ensemble,113.7,2022,octobre
Produits alimentaires,119.6,2022,octobre
Produits non alimentaires,109.8,2022,octobre
