Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.3,2024,janvier
02 - Boissons alcoolisées et tabac,139.8,2024,janvier
03 - Articles d'habillements et chaussures,115.4,2024,janvier
"04 - Logements, eau, électricité et autres combustibles",105.1,2024,janvier
"05 - Meubles, articles de ménages et entretien courant du foyer",112.0,2024,janvier
06 - Santé,100.9,2024,janvier
07 - Transport,120.5,2024,janvier
08 - Communication,104.1,2024,janvier
09 - Loisirs et culture,105.1,2024,janvier
10 - Enseignement,119.1,2024,janvier
11 - Restaurants et hôtels,115.7,2024,janvier
12 - Biens et services divers,113.6,2024,janvier
Ensemble,117.5,2024,janvier
Produits alimentaires,127.8,2024,janvier
Produits non alimentaires,110.8,2024,janvier
