Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.0,2018,janvier
02 - Boissons alcoolisées et tabac,138.5,2018,janvier
03 - Articles d'habillements et chaussures,116.8,2018,janvier
"04 - Logements, eau, électricité et autres combustibles",115.7,2018,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",110.1,2018,janvier
06 – Santé,105.5,2018,janvier
07 – Transport,111.4,2018,janvier
08 – Communication,59.4,2018,janvier
09 - Loisirs et culture,98.8,2018,janvier
10 – Enseignement,148.4,2018,janvier
11 - Restaurants et hôtels,130.9,2018,janvier
12 - Biens et services divers,121.0,2018,janvier
Ensemble,119.8,2018,janvier
Produits alimentaires,129.5,2018,janvier
Produits non alimentaires,112.9,2018,janvier
