Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.4,2023,juin
02 - Boissons alcoolisées et tabac,136.8,2023,juin
03 - Articles d'habillements et chaussures,113.8,2023,juin
"04 - Logements, eau, électricité et autres combustibles",104.7,2023,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",111.3,2023,juin
06 - Santé,102.4,2023,juin
07 - Transport,117.1,2023,juin
08 - Communication,104.2,2023,juin
09 - Loisirs et culture,105.7,2023,juin
10 - Enseignement,116.7,2023,juin
11 - Restaurants et hôtels,113.4,2023,juin
12 - Biens et services divers,112.7,2023,juin
Ensemble,116.9,2023,juin
Produits alimentaires,127.7,2023,juin
Produits non alimentaires,109.8,2023,juin
