Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,114.0,2011,avril
02 - Boissons alcoolisées et tabac,108.3,2011,avril
03 - Articles d'habillements et chaussures,105.3,2011,avril
"04 - Logements, eau, électricité et autres combustibles",104.7,2011,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",106.9,2011,avril
06 - Santé,103.0,2011,avril
07 - Transport,102.9,2011,avril
08 - Communications,89.2,2011,avril
09 - Loisirs et culture,96.4,2011,avril
10 - Enseignement,118.5,2011,avril
11 - Restaurants et hôtels,110.3,2011,avril
12 - Biens et services divers,108.7,2011,avril
Ensemble,108.4,2011,avril
Produits alimentaires,113.7,2011,avril
Produits non alimentaires,104.7,2011,avril
