Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,117.9,2011,novembre
02 - Boissons alcoolisées et tabac,108.3,2011,novembre
03 - Articles d'habillement et chaussures,107.3,2011,novembre
"04 - Logement, eau, électricité et autres combustibles",105.0,2011,novembre
"05 - Meubles, articles de ménage et entretien courant du foyer",107.4,2011,novembre
06 - Santé,103.2,2011,novembre
07 - Transport,103.4,2011,novembre
08 - Communications,78.1,2011,novembre
09 - Loisirs et culture,96.6,2011,novembre
10 - Enseignement,122.1,2011,novembre
11 - Restaurants et hôtels,112.0,2011,novembre
12 - Biens et services divers,110.3,2011,novembre
Ensemble,110.1,2011,novembre
Produits alimentaires,117.4,2011,novembre
Produits non alimentaires,104.9,2011,novembre
