Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.2,2016,octobre
02 - Boissons alcoolisées et tabac,122.7,2016,octobre
03 - Articles d'habillements et chaussures,114.3,2016,octobre
"04 - Logements, eau, électricité et autres combustibles",114.0,2016,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.4,2016,octobre
06 - Santé,104.5,2016,octobre
07 - Transport,109.7,2016,octobre
08 - Communication,59.4,2016,octobre
09 - Loisirs et culture,98.7,2016,octobre
10 - Enseignement,145.4,2016,octobre
11 - Restaurants et hôtels,126.6,2016,octobre
12 - Biens et services divers,114.5,2016,octobre
Ensemble,117.9,2016,octobre
Produits alimentaires,127.9,2016,octobre
Produits non alimentaires,110.8,2016,octobre
