Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,117.8,2011,octobre
02 - Boissons alcoolisées et tabac,108.3,2011,octobre
03 - Articles d'habillement et chaussures,107.1,2011,octobre
"04 - Logements, eau, électricité et autres combustibles",104.9,2011,octobre
"05 - Meubles, articles de ménage et entretien courant du foyer",107.3,2011,octobre
06 - Santé,103.1,2011,octobre
07 - Transport,103.3,2011,octobre
08 - Communications,78.1,2011,octobre
09 - Loisirs et culture,96.6,2011,octobre
10 - Enseignement,122.1,2011,octobre
11 - Restaurants et hôtels,112.0,2011,octobre
12 - Biens et services divers,110.2,2011,octobre
Ensemble,110.0,2011,octobre
Produits alimentaires,117.3,2011,octobre
Produits non alimentaires,104.8,2011,octobre
