Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,117.1,2010,novembre
02 - Boissons alcoolisées et tabac,108.3,2010,novembre
03 - Articles d'habillements et chaussures,104.9,2010,novembre
"04 - Logements, eau, électricité et autres combustibles",104.6,2010,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",106.3,2010,novembre
06 - Santé,103.0,2010,novembre
07 - Transport,103.2,2010,novembre
08 - Communication,89.2,2010,novembre
09 - Loisirs et culture,96.7,2010,novembre
10 - Enseignement,118.5,2010,novembre
11 - Restaurants et hôtels,109.8,2010,novembre
12 - Biens et services divers,108.0,2010,novembre
Ensemble,109.6,2010,novembre
Produits alimentaires,116.7,2010,novembre
Produits non alimentaires,104.6,2010,novembre
