Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.9,2017,novembre
02 - Boissons alcoolisées et tabac,125.3,2017,novembre
03 - Articles d'habillements et chaussures,116.4,2017,novembre
"04 - Logements, eau, électricité et autres combustibles",115.6,2017,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.9,2017,novembre
06 - Santé,105.5,2017,novembre
07 - Transport,111.5,2017,novembre
08 - Communication,59.4,2017,novembre
09 - Loisirs et culture,98.9,2017,novembre
10 - Enseignement,148.4,2017,novembre
11 - Restaurants et hôtels,130.6,2017,novembre
12 - Biens et services divers,115.6,2017,novembre
Ensemble,119.1,2017,novembre
Produits alimentaires,128.7,2017,novembre
Produits non alimentaires,112.4,2017,novembre
