Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.9,2025,novembre
02 - Boissons alcoolisées et tabac,145.0,2025,novembre
03 - Articles d'habillements et chaussures,117.4,2025,novembre
"04 - Logements, eau, électricité et autres combustibles",109.5,2025,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",113.1,2025,novembre
06 - Santé,101.5,2025,novembre
07 - Transport,115.8,2025,novembre
08 - Communication,103.8,2025,novembre
09 - Loisirs et culture,104.9,2025,novembre
10 - Enseignement,124.4,2025,novembre
11 - Restaurants et hôtels,122.2,2025,novembre
12 - Biens et services divers,117.8,2025,novembre
Ensemble,118.8,2025,novembre
Produits alimentaires,128.6,2025,novembre
Produits non alimentaires,112.5,2025,novembre
