Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,116.8,2011,mars
02 - Boissons alcoolisées et tabac,108.3,2011,mars
03 - Articles d'habillements et chaussures,105.3,2011,mars
"04 - Logements, eau, électricité et autres combustibles",104.6,2011,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",106.8,2011,mars
06 - Santé,103.0,2011,mars
07 - Transport,103.1,2011,mars
08 - Communications,89.2,2011,mars
09 - Loisirs et culture,96.4,2011,mars
10 - Enseignement,118.5,2011,mars
11 - Restaurants et hôtels,110.3,2011,mars
12 - Biens et services divers,108.6,2011,mars
Ensemble,109.6,2011,mars
Produits alimentaires,116.4,2011,mars
Produits non alimentaires,104.8,2011,mars
