Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,104.2,2021,novembre
02 - Boissons alcoolisées et tabac,125.5,2021,novembre
03 - Articles d'habillements et chaussures,106.3,2021,novembre
"04 - Logements, eau, électricité et autres combustibles",102.9,2021,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",103.1,2021,novembre
06 - Santé,101.8,2021,novembre
07 - Transport,109.6,2021,novembre
08 - Communication,103.6,2021,novembre
09 - Loisirs et culture,100.9,2021,novembre
10 - Enseignement,111.7,2021,novembre
11 - Restaurants et hôtels,105.1,2021,novembre
12 - Biens et services divers,108.7,2021,novembre
Ensemble,105.4,2021,novembre
Produits alimentaires,105.0,2021,novembre
Produits non alimentaires,105.6,2021,novembre
