Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.8,2025,juillet
02 - Boissons alcoolisées et tabac,145.0,2025,juillet
03 - Articles d'habillements et chaussures,116.9,2025,juillet
"04 - Logements, eau, électricité et autres combustibles",109.3,2025,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",113.0,2025,juillet
06 - Santé,101.4,2025,juillet
07 - Transport,116.9,2025,juillet
08 - Communication,103.9,2025,juillet
09 - Loisirs et culture,104.8,2025,juillet
10 - Enseignement,121.8,2025,juillet
11 - Restaurants et hôtels,121.8,2025,juillet
12 - Biens et services divers,116.9,2025,juillet
Ensemble,119.4,2025,juillet
Produits alimentaires,130.4,2025,juillet
Produits non alimentaires,112.2,2025,juillet
