Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.8,2018,septembre
02 - Boissons alcoolisées et tabac,138.5,2018,septembre
03 - Articles d'habillements et chaussures,117.1,2018,septembre
"04 - Logements, eau, électricité et autres combustibles",116.7,2018,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",111.3,2018,septembre
06 - Santé,105.7,2018,septembre
07 - Transport,113.0,2018,septembre
08 - Communication,59.2,2018,septembre
09 - Loisirs et culture,99.6,2018,septembre
10 - Enseignement,153.4,2018,septembre
11 - Restaurants et hôtels,132.5,2018,septembre
12 - Biens et services divers,122.9,2018,septembre
Ensemble,120.0,2018,septembre
Produits alimentaires,127.2,2018,septembre
Produits non alimentaires,114.4,2018,septembre
