Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.8,2020,janvier
02 - Boissons alcoolisées et tabac,159.4,2020,janvier
03 - Articles d'habillements et chaussures,119.1,2020,janvier
"04 - Logements, eau, électricité et autres combustibles",117.6,2020,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",112.6,2020,janvier
06 – Santé,107.4,2020,janvier
07 – Transport,113.3,2020,janvier
08 – Communication,59.5,2020,janvier
09 - Loisirs et culture,101.5,2020,janvier
10 – Enseignement,157.6,2020,janvier
11 - Restaurants et hôtels,134.8,2020,janvier
12 - Biens et services divers,124.6,2020,janvier
Ensemble,121.1,2020,janvier
Produits alimentaires,128.1,2020,janvier
Produits non alimentaires,115.6,2020,janvier
