Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.4,2019,décembre
02 - Boissons alcoolisées et tabac,159.4,2019,décembre
03 - Articles d'habillements et chaussures,119.1,2019,décembre
"04 - Logements, eau, électricité et autres combustibles",117.6,2019,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.7,2019,décembre
06 – Santé,107.4,2019,décembre
07 – Transport,112.6,2019,décembre
08 – Communication,59.5,2019,décembre
09 - Loisirs et culture,101.5,2019,décembre
10 – Enseignement,157.6,2019,décembre
11 - Restaurants et hôtels,134.7,2019,décembre
12 - Biens et services divers,123.9,2019,décembre
Ensemble,121.2,2019,décembre
Produits alimentaires,128.6,2019,décembre
Produits non alimentaires,115.4,2019,décembre
