Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,125.3,2015,octobre
02 - Boissons alcoolisées et tabac,122.7,2015,octobre
03 - Articles d'habillements et chaussures,113.2,2015,octobre
"04 - Logements, eau, électricité et autres combustibles",113.0,2015,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",108.7,2015,octobre
06 - Santé,104.2,2015,octobre
07 - Transport,108.0,2015,octobre
08 - Communication,59.6,2015,octobre
09 - Loisirs et culture,96.9,2015,octobre
10 - Enseignement,141.4,2015,octobre
11 - Restaurants et hôtels,123.3,2015,octobre
12 - Biens et services divers,114.1,2015,octobre
Ensemble,116.0,2015,octobre
Produits alimentaires,125.2,2015,octobre
Produits non alimentaires,109.5,2015,octobre
