Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,125.9,2016,avril
02 - Boissons alcoolisées et tabac,122.7,2016,avril
03 - Articles d'habillements et chaussures,113.9,2016,avril
"04 - Logements, eau, électricité et autres combustibles",113.8,2016,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",109.0,2016,avril
06 - Santé,104.3,2016,avril
07 - Transport,108.3,2016,avril
08 - Communication,59.5,2016,avril
09 - Loisirs et culture,98.1,2016,avril
10 - Enseignement,141.4,2016,avril
11 - Restaurants et hôtels,124.4,2016,avril
12 - Biens et services divers,114.2,2016,avril
Ensemble,116.5,2016,avril
Produits alimentaires,125.7,2016,avril
Produits non alimentaires,110.0,2016,avril
