Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,118.8,2012,juillet
02 - Boissons alcoolisées et tabac,108.5,2012,juillet
03 - Articles d'habillements et chaussures,107.8,2012,juillet
"04 - Logements, eau, électricité et autres combustibles",105.3,2012,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",107.2,2012,juillet
06 - Santé,103.9,2012,juillet
07 - Transport,108.3,2012,juillet
08 - Communication,65.6,2012,juillet
09 - Loisirs et culture,97.0,2012,juillet
10 - Enseignement,122.1,2012,juillet
11 - Restaurants et hôtels,113.1,2012,juillet
12 - Biens et services divers,110.7,2012,juillet
Ensemble,110.7,2012,juillet
Produits alimentaires,118.3,2012,juillet
Produits non alimentaires,105.4,2012,juillet
