Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.6,2023,mai
02 - Boissons alcoolisées et tabac,136.7,2023,mai
03 - Articles d'habillements et chaussures,113.8,2023,mai
"04 - Logements, eau, électricité et autres combustibles",104.5,2023,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",110.9,2023,mai
06 - Santé,102.4,2023,mai
07 - Transport,117.1,2023,mai
08 - Communication,104.3,2023,mai
09 - Loisirs et culture,105.8,2023,mai
10 - Enseignement,116.7,2023,mai
11 - Restaurants et hôtels,112.8,2023,mai
12 - Biens et services divers,112.5,2023,mai
Ensemble,118.0,2023,mai
Produits alimentaires,130.9,2023,mai
Produits non alimentaires,109.7,2023,mai
