Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.4,2025,mai
02 - Boissons alcoolisées et tabac,144.9,2025,mai
03 - Articles d'habillements et chaussures,116.9,2025,mai
"04 - Logements, eau, électricité et autres combustibles",109.3,2025,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",112.6,2025,mai
06 - Santé,101.4,2025,mai
07 - Transport,115.4,2025,mai
08 - Communication,103.9,2025,mai
09 - Loisirs et culture,105.0,2025,mai
10 - Enseignement,121.8,2025,mai
11 - Restaurants et hôtels,120.9,2025,mai
12 - Biens et services divers,116.6,2025,mai
Ensemble,119.0,2025,mai
Produits alimentaires,130.0,2025,mai
Produits non alimentaires,111.9,2025,mai
