Division par produits,ipc,annee,mois
Produits alimentaires,120.2,2013,avril
01 - Produits alimentaires et boissons non alcoolisées,120.4,2013,avril
02 - Boissons alcoolisées et tabac,115.5,2013,avril
Produits non alimentaires,106.8,2013,avril
03 - Articles d'habillements et chaussures,109.0,2013,avril
"04 - Logements, eau, électricité et autres combustibles",106.3,2013,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",107.3,2013,avril
06 - Santé,104.4,2013,avril
07 - Transport,109.4,2013,avril
08 - Communication,65.4,2013,avril
09 - Loisirs et culture,97.4,2013,avril
10 - Enseignement,129.6,2013,avril
11 - Restaurants et hôtels,116.3,2013,avril
12 - Biens et services divers,112.1,2013,avril
Ensemble,112.3,2013,avril
