Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.0,2023,février
02 - Boissons alcoolisées et tabac,136.7,2023,février
03 - Articles d'habillements et chaussures,112.3,2023,février
"04 - Logements, eau, électricité et autres combustibles",104.3,2023,février
"05 - Meubles, articles de ménages et entretien courant du foyer",110.5,2023,février
06 - Santé,102.1,2023,février
07 - Transport,120.2,2023,février
08 - Communication,104.3,2023,février
09 - Loisirs et culture,106.0,2023,février
10 - Enseignement,116.7,2023,février
11 - Restaurants et hôtels,111.8,2023,février
12 - Biens et services divers,111.8,2023,février
Ensemble,116.8,2023,février
Produits alimentaires,127.4,2023,février
Produits non alimentaires,109.9,2023,février
